raw	slope	new
8845.31	1550.628	7294.682
8983.031	1559.696	7423.335
8920.241	1568.764	7351.478
8888.446	1577.832	7310.614
8940.525	1586.9	7353.625
8938.953	1595.968	7342.985
8956.993	1605.036	7351.957
8938.953	1614.104	7324.849
8938.953	1623.172	7315.781
6314.115	0	6314.115
6314.115	19.981	6294.134
6075.977	39.962	6036.015
3636.516	59.943	3576.573
3445.082	79.924	3365.157
3534.121	99.90501	3434.216
3660.941	119.886	3541.055
3785.453	139.867	3645.586
3829.639	159.848	3669.791
3929.609	179.829	3749.78
4159.114	199.81	3959.304
4291.876	219.791	4072.085
4499.594	239.772	4259.822
4858.962	259.753	4599.209
5163.202	279.734	4883.468
5334.813	299.715	5035.098
5527.447	319.696	5207.751
5850.455	339.677	5510.778
6062.906	359.658	5703.248
6481.664	379.639	6102.025
6789.793	399.62	6390.173
6962.789	419.601	6543.188
7339.779	439.582	6900.197
7653.13	459.563	7193.567
7996.13	479.544	7516.586
8157.587	499.525	7658.062
8290.921	519.506	7771.415
8424.253	539.487	7884.766
8535.028	559.468	7975.561
8485.696	579.449	7906.247
8480.583	599.4301	7881.153
8499.704	619.411	7880.293
8485.134	639.392	7845.742
8488.721	659.373	7829.348
8506.333	679.354	7826.979
8537.238	699.335	7837.903
8537.154	719.316	7817.838
8576.362	739.2971	7837.065
8560.201	759.278	7800.923
8569.448	779.259	7790.189
8597.627	799.2401	7798.387
8613.971	819.221	7794.75
8695.57	839.202	7856.368
8557.332	859.183	7698.149
8619.237	879.1641	7740.073
8629.246	899.145	7730.101
8642.935	919.126	7723.809
8665.082	939.1071	7725.975
8685.426	959.088	7726.338
8686.508	979.069	7707.439
8716.186	999.05	7717.136
8637.702	1019.031	7618.671
8668.488	1039.012	7629.476
8716.92	1058.993	7657.927
8673.934	1078.974	7594.959
8709.648	1098.955	7610.693
8707.43	1118.936	7588.494
8721.944	1138.917	7583.027
8689.549	1158.898	7530.651
8744.157	1178.879	7565.278
8724.055	1198.86	7525.194
8747.893	1218.841	7529.052
8780.425	1238.822	7541.603
8798.47	1258.803	7539.667
8771.896	1278.784	7493.112
8831.793	1298.765	7533.028
8824.429	1318.746	7505.683
8849.827	1338.727	7511.1
8838.248	1358.708	7479.54
8851.159	1378.689	7472.47
8836.862	1398.67	7438.192
8818.14	1418.651	7399.488
8858.715	1438.632	7420.083
8891.812	1458.613	7433.198
8915.155	1478.594	7436.561
8953.286	1498.575	7454.711
8964.412	1518.556	7445.856
9080.099	1538.537	7541.562
9000.604	1558.518	7442.085
9036.909	1578.499	7458.41
